top - 12:19:14 up 8 days, 49 min,  1 user,  load average: 2.24, 2.37, 2.59
Tasks: 508 total,   1 running, 505 sleeping,   0 stopped,   2 zombie
%Cpu(s): 22.6 us, 12.8 sy,  0.0 ni, 58.5 id,  5.5 wa,  0.0 hi,  0.6 si,  0.0 st
MiB Mem :  15889.4 total,    190.1 free,  13454.5 used,   2244.8 buff/cache
MiB Swap:   2048.0 total,      0.0 free,   2048.0 used.    835.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    111 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/122+
    112 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/123+
    113 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/124+
    114 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_th+
    117 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 vfio-ir+
    118 root       0 -20       0      0      0 I   0.0   0.0   0:28.14 kworker+
    119 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mld
    120 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_ad+
    129 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    132 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap-s+
    140 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger+
    190 root       0 -20       0      0      0 I   0.0   0.0   0:24.89 kworker+
    191 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    192 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    193 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    194 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    195 root      20   0       0      0      0 S   0.0   0.0   0:00.06 scsi_eh+
    196 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    198 root     -51   0       0      0      0 S   0.0   0.0  12:52.42 irq/51-+
    218 root      20   0       0      0      0 S   0.0   0.0   1:06.36 jbd2/sd+
    219 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    284 root      20   0    2496      0      0 S   0.0   0.0   0:00.95 bpfilte+
    369 root      20   0   24984   1276    468 S   0.0   0.0   0:03.27 systemd+
    442 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cfg80211
    444 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    446 root     -51   0       0      0      0 S   0.0   0.0  15:52.43 irq/130+
    476 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    481 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    482 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    773 root      20   0    2684      0      0 S   0.0   0.0   0:00.00 falcond
    774 root      20   0 1310872   9320      0 S   0.0   0.1   0:40.65 falcon-+
    818 systemd+  20   0   26000   4076   1804 S   0.0   0.0   2:09.59 systemd+
    893 root      20   0    2548    188      0 S   0.0   0.0   0:15.40 acpid
    896 root      20   0    8400    416      0 S   0.0   0.0   0:00.36 bluetoo+
    897 message+  20   0   35120   3944   1028 S   0.0   0.0  33:23.69 dbus-da+
    899 root      20   0  887396   8096   2252 S   0.0   0.0  36:55.12 Network+
    905 root      20   0   81892    856    556 S   0.0   0.0   0:32.36 irqbala+
    908 root      20   0   39724   2400      0 S   0.0   0.0   0:00.16 network+
    911 root      20   0  265404   4772   1536 S   0.0   0.0   0:16.88 polkitd
    915 syslog    20   0  234536   1372      0 S   0.0   0.0   0:11.76 rsyslogd
    922 root      20   0 1244504  14532      0 S   0.0   0.1   6:12.75 snapd
